"variable","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_basifolia","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_debilis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_brevipes","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_kunthiana","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_ramosa_var_erythrocalyx","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_serpens","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
0,2.24007583541905e-08,0.00793921389392662,5.07747410767448e-05,7.77408244546671e-07,0.000108072887620112,0.00469369777652706,6.12552022783222e-11,0.021160347024876,1.23253839207022e-05,0.000221693028853495,9.94495839214304e-15,4.11108855427624e-11,1.20665581113413e-06,0.00278842746889053,3.42639669769678e-05,0.000485994741752006,0.000339240055355416,7.88033214146853e-05,0.000838604342415226,0.00182618819107369,0.010436974893426,6.43314491967253e-08,0.0107086137318846,0.000261172728047697,0,5.06733206702388e-19,4.52734592916408e-08,0.000194977971092147,4.54880200197338e-14,0.000517675067512494,0.0142155879688596,9.66045853066932e-13,7.73383406313905e-06,0.00713462927279656,3.27387530469147e-07,3.60515189638329e-12,8.00092837691547e-07,1.63388568936087e-12,0.0024509213002724,0.0123050540716156,3.10034629580882e-17,0.000868270327395963,0.00872862006545707,4.49111589745284e-05,5.68832013655865e-07,0.0018305861733623,0.0108353929104629
1,6.51009051579456e-08,0.00193518103786038,3.12003573520663e-05,1.60545894759199e-06,5.12477848546377e-05,0.00202718648357569,1.59652871747604e-10,0.00960483901369145,7.16041736540051e-06,9.84337030997017e-05,1.38296371084112e-14,7.33405455411461e-10,1.78708470836537e-07,0.000887080850434907,9.61228982788743e-05,0.000239763098723969,0.000141432825283048,4.79130968206551e-05,0.000301128529161865,0.000555111419552297,0.00335216779046759,2.08242835144681e-06,0.00280378067394687,0.000196772409882752,0,4.04568289773441e-18,1.26429850134178e-06,0.000137010060192129,5.4786424652031e-14,0.00030840757102922,0.00523767728561716,3.79269507874541e-13,6.56624649690468e-06,0.0026451422530147,5.73270210378447e-07,6.69396652975758e-14,3.97077711823632e-07,2.52146664880948e-13,0.000726569843823734,0.00497459350930905,1.57392902004707e-17,0.000675352894900793,0.00358762935366089,0.000267497065789444,4.13060318721792e-08,0.00297070484355685,0.00216235702033489
2,1.3944570276719e-07,0.000394716955741478,1.36920378720971e-05,2.64911073151176e-06,1.83328958176657e-05,0.000261999772496673,2.89537534721649e-10,0.00310128849506141,9.39309920855344e-06,6.15010735106283e-05,2.00703639254339e-14,2.00469818052154e-09,3.07309525241427e-08,0.000528438826912078,0.000222399034755182,0.000257643275751785,6.08707067327865e-05,5.96326447427767e-05,0.000225532673546987,0.000235010302632296,0.00238901421826731,1.19194599384143e-06,0.00113697824831942,0.000346969074230476,0,4.05035153133728e-18,3.68913613105107e-06,0.000183509080702679,1.25868936089891e-13,0.000179272662500186,0.0032677681792226,7.80392231300736e-13,6.42298851934304e-06,0.000592519727595548,1.24807813807015e-06,1.7809318662678e-14,4.3175012605014e-07,1.38977815073275e-13,0.000312495366329314,0.00262742112981911,3.6169492506268e-17,0.000523789338301962,0.00102559077456567,0.000313811446685757,1.27617552763008e-08,0.00267204604516244,0.000537854495284948
3,2.81366805624553e-06,0.000344125730323154,7.64919317455087e-06,4.76464144950793e-06,1.97425907676819e-05,0.000294407602854689,3.85282120932473e-10,0.00393507656238044,1.6234966756174e-05,7.33264608143553e-05,3.99018195457977e-13,5.23343442455355e-09,2.5289608942084e-08,0.000739634627108621,0.000300950055684712,0.000296283821106223,6.57013058986419e-05,7.58730447709125e-05,0.000220462390116735,0.000204055652813127,0.00156870765922552,3.84949201256586e-07,0.000993142303904815,0.000348797497536128,0,7.90949526885383e-16,9.47260034131658e-06,0.000227204522991487,5.43642282502509e-13,0.00032976959945031,0.00322937366903974,1.96790303336365e-11,8.63114898457706e-06,0.000774740653241195,4.98708347707856e-06,3.10217979988747e-14,9.59518463320338e-07,2.53243003458925e-13,0.000377304618204233,0.00264787778280207,2.63786729809562e-13,0.000722126571468704,0.00124962616976476,0.00067374846496802,4.53452678679981e-08,0.00606621738384335,0.000700124831889252
4,1.91696634989742e-06,0.000172559937990956,5.81982153991461e-06,4.3560218212072e-06,1.96336761456997e-05,0.000147014326964141,4.09819190847671e-10,0.00283785918175783,1.63236318544565e-05,5.65944207401209e-05,2.85552616749843e-13,3.15441877025755e-09,2.04985925227709e-08,0.000387843257455594,0.000146403904502786,0.000260344528981199,4.23951326231379e-05,9.03569672408396e-05,0.00025384609275469,0.000143559224417495,0.00117618246126577,7.13260888558484e-08,0.000681064901424567,0.000336114662612939,0,8.49769219140938e-16,2.13051739641182e-05,0.000223079045773702,4.69401684890567e-13,0.000251479096369595,0.00229934105158141,8.62095270504708e-12,9.435305499824e-06,0.000384652690107186,6.69260889734195e-06,3.12372254973321e-15,8.66103254249767e-07,2.15969517890839e-13,0.000227942509938918,0.00190323114842088,1.71691537179688e-13,0.000638252128243868,0.000713846941810151,0.000596825329996276,2.09296328710498e-08,0.00167106458719573,0.000501312371599412
5,2.52801780737981e-06,0.000138626086118428,3.62624357427061e-06,6.61819843741208e-06,1.8127371062457e-05,0.000129757557276424,1.64128845078108e-09,0.00313428571521629,2.35599307731247e-05,4.71345987863292e-05,1.24359247389757e-12,3.9028344411804e-09,4.54154542994002e-08,0.000332028763192265,0.000123447896179859,0.000283463094201488,4.50426373114747e-05,9.12049595493912e-05,0.000220819354404887,0.000125850845419675,0.00104106249680189,2.1413819825385e-07,0.000587119139329521,0.000418864726157119,0,1.15246646328862e-14,3.34704720799362e-05,0.000266407265234101,8.10965215487576e-13,0.0002999516365605,0.00213471546408573,1.19109082393004e-10,5.5416345359698e-06,0.000399040756347751,9.62206042067807e-06,2.14114305709033e-15,6.69660736417201e-07,1.3056819019225e-13,0.00021999133974448,0.00189766466559684,1.21597642393897e-12,0.000787034552671128,0.000672836635253329,0.00070504120298359,1.21284464564649e-08,0.00164959909424611,0.000417516488763899
6,6.65031590569669e-06,0.000297819428162838,4.64628772045557e-06,7.13605328010584e-06,2.0247889778322e-05,0.000230486536175251,3.14544338295496e-09,0.00376929407736386,3.45386085427321e-05,4.13829581503218e-05,1.34345032610117e-12,1.32276268687889e-08,1.25576960659396e-07,0.000532239457268197,0.000277786306569925,0.000327661958081563,4.94301001339568e-05,0.00011669307096613,0.000290050312793486,0.000160684985176798,0.000836448529609649,1.50522988366992e-06,0.000706246910493859,0.000309602721187046,0,6.56998040478037e-15,2.59283333144711e-05,0.000313374413618571,1.79939238253983e-12,0.00040796969877752,0.00227370416205366,7.75268255859661e-11,6.71773567846849e-06,0.000520680233738255,1.93059313595548e-05,7.39516330698128e-15,1.39998326927402e-06,3.5145720927825e-13,0.000254398213777215,0.00204091416095838,8.10820126599192e-13,0.000776806169709271,0.000833798772551125,0.000999361706726658,4.28002470054723e-08,0.000221469058511849,0.000494696744112542
7,3.19606419011029e-06,0.000178911262874042,7.50329371327986e-06,5.65081865983147e-06,3.97349509129609e-05,0.000326760779582122,7.64123842441913e-09,0.00272240778656086,2.34888611049075e-05,4.0134268065969e-05,2.44769470806736e-12,1.19862772296581e-08,9.21427844757842e-08,0.000367946986571796,0.000192733501122733,0.000233238508526615,4.53480527504615e-05,7.39463294593267e-05,0.000210016913818385,0.000146400811640681,0.000962826150218194,1.0117629248515e-06,0.000653534538102593,0.000230867672209713,0,2.16355697514877e-14,1.68208705366524e-05,0.000200485898232842,1.2605734778538e-12,0.000354842629134435,0.00171310955492476,1.30538618221303e-10,5.00735281511332e-06,0.000488884816946174,2.08287819478275e-05,7.47867979498779e-15,1.00809791784697e-06,2.26411140679278e-13,0.000236030862329166,0.00143814314518529,1.23157443410967e-12,0.000574297377107763,0.000776972260310723,0.000436100726326643,2.62554160717925e-08,8.72917747693684e-05,0.000492055006053757
8,4.22398924035502e-06,0.000201286370748722,4.77827453141291e-06,7.04631850017474e-06,1.32914201275489e-05,0.000252898213354133,1.54065963863217e-08,0.00362552205504053,3.13091806988827e-05,3.3043126745912e-05,2.20964464654199e-12,2.65675045723081e-08,1.84118487804134e-07,0.000433124697777194,0.000209515242848939,0.000271265255547979,3.85271686850998e-05,8.41301364529134e-05,0.000165833307674724,0.000139685121751264,0.000389487491713975,2.01901171708361e-07,0.000483981748000726,0.000238022245125128,0,2.13950555494763e-14,2.32575745639646e-05,0.000242858888227259,1.88863615852814e-12,0.000535781349662924,0.00168052097200906,1.5827749046898e-10,4.41993617443139e-06,0.000565577887363496,5.79352117587609e-05,1.17002265206914e-14,9.28944737465058e-07,2.7378906351426e-13,0.000195920840521777,0.00156699452049815,1.80860643958685e-12,0.000755382112347809,0.000565215031646394,0.000569184981327153,2.92966895464375e-08,9.75316265462884e-05,0.000350746452461686
9,3.56183727501569e-06,0.000246864311287313,1.17933455354802e-05,6.38346763901192e-06,4.94484897568343e-05,0.000436061875437922,7.32573642840523e-09,0.00264721234771612,2.37323507652331e-05,4.19019185440784e-05,2.39046248305688e-12,2.62908615650105e-08,1.11170242917716e-07,0.000476795152131579,0.000203301024949349,0.000207820418727333,4.11018700041733e-05,7.06332644155564e-05,0.000156018024832713,0.000157380607600141,0.00068786944040724,2.60653974095569e-07,0.000614066219797525,0.000182917541967813,0,2.44329800616448e-14,3.41653182740475e-05,0.000166142623645535,1.59302363360117e-12,0.000412908636622246,0.00156197689647467,1.4027549202967e-10,1.15944997317413e-05,0.000528316535084687,4.27104416661169e-05,1.00945772336576e-14,1.26028616504522e-06,2.32055213085321e-13,0.000217241603898318,0.00124550096430827,6.83455350630563e-13,0.000479787182369231,0.000773565766480923,0.000891180823241324,2.04627669713051e-08,0.000186038991853184,0.000544373927669898
