"variable","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_basifolia","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_debilis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_brevipes","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_kunthiana","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_ramosa_var_erythrocalyx","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_serpens","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
0,0.775408416489803,0.779393822644051,0.6168034517432,0.724904013890305,0.826963466434941,0.895330740434581,0.646626939161164,0.802929920828055,0.407653969639031,0.746521045416931,0.783696814332326,0.650196085551588,0.697548186496274,0.798921107043799,0.838534304833168,0.664932515441659,0.847566492985385,0.646082017721674,0.800126978749282,0.838620426712737,0.662913554446822,0.745916691176881,0.727505658779228,0.653942556781207,0.290330578700493,0.497130703810129,0.637151194920395,0.637335439492828,0.545456820318499,0.879106450961542,0.766145099740652,0.444338039523962,0.739501143181106,0.834952492926914,0.840608530530304,0.350126732187898,0.8838695494917,0.442067164007474,0.821448546062095,0.84401409219877,0.439255734591573,0.727172176239432,0.924021421228108,0.852869184569747,0.491997133183862,0.991461878480544,0.842609219307465
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.167788474705751,0.181798510563878,0.207530519277912,0.191308002194907,0.135172713187299,0.0892428896234961,0.229985663670277,0.132108423956848,0.286196949889246,0.172991702287204,0.164271140111768,0.227649587643826,0.211704143584121,0.154243759011777,0.111990868298113,0.178448537441885,0.11748407754302,0.219090085468919,0.142584627949647,0.12299939989019,0.152893452399808,0.139531525107852,0.161916526135887,0.217451585110755,0.22077275534268,0.268097520546407,0.196604139259077,0.2273016799821,0.252358751551218,0.0951755764576562,0.148163592197302,0.255277531554231,0.187991666265179,0.121957889043406,0.120907487734603,0.296029021100746,0.0999930400898929,0.293777553188424,0.123121319313657,0.113479131485447,0.304557819017208,0.169254928210609,0.0651224637109565,0.121336596310478,0.303229595198899,0.00851009804051138,0.120210649510991
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
