"","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
"Chamaecrista_anceps",NA,0.119358480128795,0.591260190974539,0.13881615256265,0.251028356719313,0.135690271009934,0.154055423470915,0.718847955373283,0.761488005733767,0.751600343551452,0.119093965488702,0.50410717915293,0.275511549757002,0.205827344138331,0.561867773654176,0.388171301445338,0.295019797926861,0.200778258992855,0.512398525056701,0.292989564265708,0.696294998687638,0.72183357648476,0.716896185236708,0.357457329871975,0.562140283711767,0.164211798833039,0.151208621415912,0.78127119820199,0.143948168707078,0.148884752196696,0.553514508208225,0.559042321890672,0.478067058517866,0.165503357848614,0.404446332230666,0.133513327063581,0.103051641712456,0.527580799639349,0.554637708315803,0.130345253499274,0.60443334965078
"Chamaecrista_aristata",0.366184753581727,NA,0.308783362484035,0.421916884554694,0.471693117448049,0.415834385740163,0.236215527209281,0.24294416902582,0.202840456389039,0.0932491148073914,0.483850960177979,0.516312516335892,0.384235011427642,0.486440686650161,0.334772066108381,0.405937547414678,0.451780359790686,0.345495562334204,0.103026303989344,0.443799555739935,0.256348876191465,0.0735976452191364,0.227037404143642,0.426870852019252,0.135771644127746,0.423726915950724,0.288145373165383,0.123273846640734,0.399226370891823,0.54762404242206,0.138713948777317,0.346998650388977,0.126678145923596,0.411924670308339,0.216626178850356,0.223890767682989,0.181996908572523,0.49418311929361,0.170373938767807,0.825038205519272,0.318133872319942
"Chamaecrista_arrojadoana",0.853895936389855,0.644217726258656,NA,0.379611061924855,0.528111982923302,0.348918676092451,0.25939547650879,0.753455107673141,0.702742674607293,0.634928557125062,0.355285508212564,0.751897790430903,0.592827067173661,0.47263795278021,0.741331570162181,0.713933789729111,0.587328191914588,0.418116417364562,0.404438772308508,0.578308168212262,0.667702159137241,0.593743091642781,0.755188196791748,0.61416099526811,0.691520429952333,0.388876972608722,0.314780857971386,0.67338052165746,0.353016067154029,0.385764157783163,0.661288746430765,0.871865154231028,0.611817909303892,0.388193527661929,0.568567497219699,0.263932903780753,0.210702821285715,0.66032606956331,0.656097109931829,0.302580420805199,0.829975833730532
"Chamaecrista_blanchetii",0.37634232831707,0.727245860895112,0.668372397028749,NA,0.734504983582233,0.372556042287808,0.35369976197401,0.302500148993132,0.228345303264291,0.0742489252557781,0.722969003884464,0.433233006337713,0.668571807908295,0.704391591785866,0.376906966390545,0.467040764640826,0.575176048743289,0.544635588007716,0.142988026354341,0.611829960649022,0.280312747838943,0.051059414565051,0.239914024067292,0.497631794957956,0.118319575819632,0.734742355826907,0.467357997910647,0.119306126902145,0.726318481842335,0.771658071550901,0.120915827222758,0.371321066554757,0.10806686377533,0.80534598818292,0.208023121978417,0.396472768879459,0.543592789265871,0.442462046893908,0.160517330006543,0.35439887918416,0.357308658457122
"Chamaecrista_brachystachya",0.567056805143633,0.79202830215257,0.832941224964014,0.933494051648743,NA,0.44581871267794,0.434064874939835,0.475575034533534,0.385934637231147,0.213313515548226,0.640894083011881,0.635803454536509,0.862767983866391,0.862458169323182,0.552044530954145,0.662562664545225,0.778736091109562,0.658682976156964,0.263888469782132,0.862285165888429,0.41724893089343,0.172473233236269,0.367294870845944,0.706317313210902,0.263307884602115,0.786655330410647,0.537465278551892,0.251660562271299,0.755450405839133,0.800317464282837,0.257415733727123,0.522711604630845,0.249041249916214,0.792345002482047,0.358731184380541,0.455412448638781,0.525095638919924,0.611126918091994,0.29143126232579,0.453902033974821,0.548230448381201
"Chamaecrista_burchelli",0.410421242188388,0.748877752655345,0.691330163323416,0.740142807134096,0.782712617453109,NA,0.221599124264355,0.292755715518087,0.215695352487546,0.094186642483062,0.367476123800388,0.423030823975457,0.378373018540212,0.547396122535898,0.518414475171767,0.544653363967398,0.601739319688911,0.323906684516531,0.102984556134728,0.488184695003644,0.281373616539609,0.0731795192725471,0.2442888204273,0.629445031058995,0.139336184225365,0.368725882767337,0.258463266013959,0.137116415390395,0.345821795497561,0.500166010318746,0.140891584886106,0.351508008627706,0.127039378637985,0.352912205947804,0.230702906975448,0.225613984337965,0.166952254616135,0.451293168650648,0.178202635601282,0.462940629492476,0.387710782414287
"Chamaecrista_calycioides",0.43121645349012,0.53177623433509,0.535566604338616,0.67039334896057,0.792825960366771,0.46947372833933,NA,0.278794253920065,0.238261446930964,0.0744818450214734,0.264095573606063,0.276620952746655,0.45220296983566,0.413727369825315,0.264217480303267,0.304105987490798,0.347305049916205,0.756498003450109,0.268624683092393,0.466473366366984,0.215151481866923,0.0573344175707494,0.21037896099029,0.361052528382982,0.113432040339543,0.579062097081895,0.870754797093507,0.120982288377761,0.597573926552719,0.403635823493652,0.110256341463859,0.229937252387242,0.103985632710686,0.506088428255738,0.148641219318037,0.869707838588446,0.599979326726026,0.329178961537806,0.136333978702975,0.237904591701695,0.309390391729338
"Chamaecrista_cardiostegia",0.921791833683623,0.553654434041107,0.942111387932065,0.563834760357852,0.76235801651817,0.634784553969586,0.59625599581579,NA,0.797786795531994,0.68846183139094,0.250866962459578,0.693858510245183,0.51206152489535,0.416265763718355,0.763958160044951,0.613976555521515,0.515487897664654,0.386504996072953,0.494900920959344,0.528491763225958,0.762091385393465,0.630060498448718,0.769171321841052,0.580323470755096,0.595176229917836,0.344014787170615,0.291627876806818,0.712647281456169,0.304209110421194,0.334817605512887,0.592249577825707,0.695065770526597,0.516550966831325,0.329324091159566,0.520714618997276,0.263100514180931,0.189765327312045,0.671458651168724,0.598387800732561,0.27457521307826,0.823524192156554
"Chamaecrista_choriophylla",0.945093570224099,0.500194225957132,0.908856555293978,0.488731030020023,0.691002100073831,0.548922342543465,0.542144010425943,0.960711621082931,NA,0.709563850665713,0.196964465056175,0.63676561205429,0.422928216896061,0.324605944811772,0.673716900317315,0.517660677285088,0.420720201266423,0.31931189473196,0.476486899207994,0.431266622314894,0.733006671499275,0.63457397540023,0.779338832095129,0.486260468721687,0.600783687099003,0.2764054198639,0.245398072462807,0.710047331601899,0.249662439047777,0.254268394983698,0.59596624198702,0.648612129885127,0.509336121987106,0.281362162334928,0.465789765307559,0.218049440110833,0.158782855686825,0.627841662015542,0.579488492812167,0.221302512813655,0.732068026236193
"Chamaecrista_cinerascens",0.926625082125413,0.33284985508609,0.863798036851752,0.24337282865976,0.46612992500587,0.379289647133599,0.247138156685826,0.87632405014217,0.89427217457892,NA,0.0656675292156065,0.496172164414564,0.249355850592395,0.160262486563995,0.527055475391506,0.370360196265088,0.264899347044151,0.133606281278949,0.449556567682339,0.260521882368514,0.657843103252389,0.881789066658369,0.726509128842462,0.316163664336752,0.66089339650638,0.0933928067833745,0.0736185810702014,0.795803240520882,0.0684842553071124,0.0777547481907176,0.640377541012766,0.585785012843652,0.553353347921553,0.100001667059693,0.437648856299403,0.0532103640372552,0.0219334090787227,0.473599054527137,0.594140666577222,0.116323376568464,0.585403533663633
