"","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
"Chamaecrista_anceps",NA,0.982004557987626,0.841395035253396,0.948025833157592,0.880077676055223,0.871218522671361,0.964319945232773,0.632227615811167,0.971112628927126,0.991710731841895,0.874787669061785,0.976344506698556,0.93229476982487,0.927546430626015,0.870673591180406,0.971350309086167,0.936236651748335,0.872610115651074,0.942251325089179,0.946225293719561,0.514922162210691,0.721722287320325,0.861742778430592,0.861924677616087,0.770048403828695,0.896273928574388,0.971111798195985,0.668929623034159,0.939164218492517,0.93429724219901,0.574718315698095,0.891538866998104,0.666658743454586,0.947099571270075,0.663847314923592,0.951763759749629,0.851386995261695,0.922539231920059,0.716588696626452,0.783946538009259,0.932367195882057
"Chamaecrista_aristata",0.998466860454621,NA,0.837409629099149,0.948482639738564,0.883998806445308,0.867233116517114,0.95030991339297,0.628260146994981,0.958320414496204,0.98247262954789,0.870802262907538,0.972445248447898,0.928525328693675,0.928173357935151,0.866688195077624,0.960786117385769,0.935957052767587,0.8546146736387,0.924255883076805,0.928229851707187,0.510936756056443,0.717736881166078,0.857757372276344,0.857941616848777,0.766062997674448,0.899212249678444,0.953116358730027,0.664944216879911,0.937040757728006,0.933950227358313,0.570732909543847,0.89552333025006,0.662673341363423,0.941322808749779,0.659861911947522,0.935234771242113,0.855348440667586,0.926330814677513,0.712603310539812,0.787931944163507,0.932257972115903
"Chamaecrista_arrojadoana",0.970453618216172,0.959363911294317,NA,0.78983998530826,0.72147271130862,0.94772136818967,0.813873530915145,0.765755009513039,0.870282406326271,0.833106637410876,0.946488297825697,0.817882344699404,0.778269146910032,0.769236958757816,0.958989926579495,0.816676472993917,0.778183025030465,0.93675366598081,0.870886760566319,0.889297792963971,0.673527126957294,0.85983649554389,0.977004194893739,0.956703741489699,0.90720889331653,0.73769700078166,0.850658352002547,0.817433536069725,0.781850958816288,0.776194921212897,0.723094393169834,0.7329339022515,0.806320353149576,0.795354905681105,0.815252218569748,0.889631275503767,0.692782030515091,0.763934267173455,0.850590977036385,0.625341573262656,0.774194232435738
"Chamaecrista_blanchetii",0.99763058569153,0.997261273968998,0.95854891011588,NA,0.93163272600036,0.819663472726224,0.972897990242268,0.580620810195298,0.919557578981989,0.956164008576709,0.823232619116649,0.971673121924126,0.976818155110814,0.979396973449556,0.81911438484998,0.973161606643694,0.987470649632469,0.835950088011881,0.918953224741941,0.900542186616743,0.463367112265554,0.670166568228096,0.810187728485455,0.810351002533216,0.718493353883558,0.9478570154734,0.939179394188326,0.617374573089022,0.986784965345944,0.985443995308771,0.523163201868338,0.94309391694324,0.61510263775189,0.982433685753512,0.612292084086928,0.900208709804492,0.902942045206832,0.974094281865196,0.665026317733976,0.835501587954396,0.983742014530661
"Chamaecrista_brachystachya",0.985028184380875,0.987141365210932,0.925940080721944,0.994287470108579,NA,0.751296198726584,0.907599180393475,0.51232309854462,0.851190304982349,0.888366073897743,0.754865345117009,0.903590366609215,0.943203564398588,0.952235752550803,0.750751277287094,0.904796238314703,0.943289686278154,0.767582814012241,0.850585950742301,0.832174918344649,0.394999838265914,0.601799963375549,0.741820454485815,0.742004698197295,0.650126079883918,0.98377571052696,0.870814359306073,0.549007299089382,0.939621752492332,0.945277790095723,0.454795991753318,0.98823346345742,0.546736423572894,0.926117805627514,0.543924994156993,0.831841435804852,0.971309319183973,0.957538318987139,0.596666391161001,0.903868861954036,0.947278478872882
"Chamaecrista_burchelli",0.987789789571409,0.981460792432586,0.990901260080334,0.975736651817428,0.946991258896969,NA,0.843697018333109,0.76029167381182,0.899530886327143,0.862930124828841,0.990196314692991,0.847705832117369,0.807942440456841,0.799060446175781,0.988414413364643,0.846499960411881,0.808006512448429,0.916100421138979,0.885394397852514,0.908921483202734,0.634490731211733,0.850479190638422,0.957142731348031,0.987529619450702,0.898761623535516,0.767520488199624,0.880247142631502,0.797711100362798,0.811674446234252,0.806018408630861,0.703491004626284,0.762757389669464,0.795363582134162,0.824621162010628,0.792625058699682,0.914365653656796,0.722605517933056,0.79375775459142,0.845189996125976,0.65516506068062,0.804017719853702
"Chamaecrista_calycioides",0.998111862015849,0.994308567745959,0.972043866636302,0.997831687359547,0.987354090487633,0.984312353882953,NA,0.604491579793798,0.943531516632631,0.967837267075699,0.847266164723534,0.97786457439532,0.963619181162965,0.955363397619552,0.843151754108943,0.989504420082319,0.964308238439384,0.859983633618766,0.942986770348826,0.924575737951174,0.487400657872439,0.694200636668715,0.83422127409234,0.834326241850858,0.742526899490443,0.923823469715355,0.963215178912598,0.641408118695907,0.967970832455765,0.962321184725373,0.547196811359843,0.919060371336355,0.639137127801347,0.979827168444632,0.636325813498819,0.924242255411377,0.878908499599947,0.950060736258311,0.689054890331876,0.811468042347511,0.960319710524254
"Chamaecrista_cardiostegia",0.911918962015726,0.896306060623313,0.963370218855991,0.883648230773605,0.8306949969119,0.963281124356563,0.906848486144678,NA,0.659975968249069,0.623948545326972,0.753007801074926,0.608708117343451,0.568294888371581,0.560057612998487,0.760412237181564,0.60728228286141,0.568958595304836,0.709678375045492,0.654914343161836,0.675447606515685,0.789855173501768,0.905918513969148,0.752089120815126,0.770078070672941,0.858150773123671,0.528537266004057,0.640878558625055,0.93233689214592,0.572554093247708,0.566994911697966,0.942472762548866,0.523784417719621,0.951854053064285,0.584913175110771,0.929623808290172,0.677780305765371,0.483632477557891,0.554784641224791,0.896314641575867,0.416192091158488,0.564990074596399
"Chamaecrista_choriophylla",0.998047249965095,0.993776536922587,0.983081964816892,0.993449191345947,0.976121010164376,0.993666502445908,0.99743465622559,0.929657542823933,NA,0.962824231084605,0.903416176737576,0.947599938373133,0.907652803474589,0.898954552431545,0.898892422255133,0.946394066667646,0.907900618704194,0.896294259142496,0.965800972612501,0.969492582279865,0.543809533283565,0.750259961483588,0.890588556169225,0.88981063030613,0.798561188272062,0.867414594455389,0.974440000782099,0.697816994107033,0.911568552490017,0.905912514886626,0.603344538779438,0.862651495925229,0.695029513738197,0.924000608245232,0.692634808652878,0.976596851327443,0.82249962418882,0.893651860847185,0.74480341486597,0.755059166936385,0.903911826109467
"Chamaecrista_cinerascens",0.999916374448968,0.998893593004853,0.967711497777793,0.998300819294347,0.986959820133091,0.985770796690296,0.998024572089509,0.906667794842989,0.997293648886703,NA,0.866499271219265,0.98448460830813,0.939590294892698,0.935684679697669,0.862385000118778,0.977690952967173,0.944334923624272,0.867839052402538,0.937480261840642,0.941454230471025,0.50663376436817,0.713433889477805,0.853454380588071,0.853637805253527,0.761760005986175,0.904511451182051,0.966340728988621,0.660641225191638,0.946884249521128,0.942363863163967,0.566429917855574,0.899827264840624,0.65837033921427,0.953440216477157,0.655558915754995,0.943475361907109,0.859675393104215,0.930827629762579,0.708299926952092,0.79223493585178,0.940506332988247
