"","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
"Chamaecrista_anceps",NA,0.577789044159099,0.829197147213459,0.877807407231166,0.814897678306187,0.387069369324687,0.284185485824475,0.789109425984731,0.86750063119334,0.756760079804812,0.854488443728821,0.75569720711978,0.666272950790525,0.666445348937643,0.722178369954327,0.824412173279384,0.788005333240855,0.766267098313683,0.563003423872534,0.701724302707826,0.77428303270898,0.77391308423902,0.652563352834137,0.476908564738783,0.793622289473436,0.627858462789318,0.489170032391656,0.759129230883658,0.612291766661079,0.553771312753304,0.79413977777324,0.857829119048382,0.782735276954305,0.823105483312245,0.575070436976523,0.323147316395589,0.69012667368043,0.613113053445376,0.732720788442643,0.697001953966108,0.805586929140974
"Chamaecrista_aristata",0.839660025231542,NA,0.546656716628471,0.642143477363133,0.694901348125043,0.581045299611659,0.382832517263867,0.764857901547593,0.684432887394111,0.424227985511888,0.633998828574619,0.804661382263934,0.401859687197756,0.708392322459483,0.774967717638752,0.697671151760002,0.724934439545812,0.662376322673825,0.404562475820561,0.72207332017061,0.720624768825642,0.446869430079896,0.319794929620455,0.672477982037467,0.575234670282102,0.659146679539462,0.605133210685117,0.708679137121417,0.698690362402252,0.666756566563382,0.643449689673138,0.567288992893275,0.583211722379578,0.649822639244322,0.862424500344558,0.429182493272741,0.69365089833982,0.811150490709531,0.752532966392395,0.843375580955464,0.593936387105115
"Chamaecrista_arrojadoana",0.943707180273893,0.842779519266753,NA,0.881612915409433,0.792527604382503,0.384586557096878,0.311676490076379,0.753815130144359,0.8299161012869,0.864097404017106,0.876050471205393,0.725573823104991,0.738767801637963,0.644116470863243,0.678270893889052,0.780476113779193,0.755141455438717,0.722297810844207,0.475900775010601,0.672492915019915,0.761043585536354,0.885147754580133,0.682850194630172,0.46019216478431,0.819405332364924,0.617034118248023,0.490074146851443,0.750709019761852,0.593524628867875,0.543658478723147,0.788420779221354,0.924135712743779,0.791923982853031,0.794533654549123,0.54400270608066,0.345730180435536,0.66253861437375,0.576986886817943,0.719833349394577,0.662702791519431,0.838388053450375
"Chamaecrista_blanchetii",0.955601721466409,0.887006470619755,0.988491396073435,NA,0.885733827128217,0.449714613568735,0.356931682636633,0.847584338402626,0.915717155989511,0.776094648655011,0.894147004038308,0.817381030787146,0.703729376567253,0.730773486760766,0.777474815481348,0.882387810937093,0.859892196597482,0.829433348272201,0.483813345436605,0.764886642012166,0.826307028717987,0.790724849496929,0.639489401928625,0.540577724973598,0.802590037171797,0.695427431022616,0.559135430714791,0.783785392557425,0.676507008174236,0.619455384276641,0.797249717533568,0.887711349840576,0.782797684013183,0.890856260660849,0.63509705378178,0.39713988889374,0.753204401690233,0.673904763288419,0.770136007452508,0.746380337942033,0.880653585679075
"Chamaecrista_brachystachya",0.928939088692494,0.914992871738346,0.970093786263519,0.990094273436946,NA,0.553360718716052,0.425895173900608,0.91225485875195,0.902306930020557,0.684473390485491,0.813452393488651,0.864815556476103,0.639446713956058,0.83809350171723,0.859436048419434,0.941924005820622,0.945635588484787,0.87258904943571,0.480115576913971,0.871910957794147,0.867422465175445,0.701656361872153,0.568026190407449,0.650693375919089,0.719571826720942,0.798316612390757,0.657526067859797,0.76438101701229,0.785895734745105,0.727169425415256,0.741714952166207,0.797435671296353,0.711401443089143,0.918691271539545,0.711883589496383,0.472871767149714,0.8491932693458,0.768113643893648,0.756890150624226,0.767458930318941,0.836822877713381
"Chamaecrista_burchelli",0.699813968424702,0.883874176689083,0.739049039142936,0.789947310780215,0.856587748864964,NA,0.542669626304218,0.565835128153617,0.476818857021957,0.285579670319141,0.414372566706083,0.556255371223152,0.313055371585975,0.690034311457627,0.628719303309726,0.531815122880289,0.57214885173527,0.528969052740958,0.312875098293682,0.651228722614478,0.584763216278747,0.298577682882547,0.235936918791052,0.88402047727996,0.355001535703691,0.649694562352519,0.671308392444079,0.450039614412899,0.672567042683865,0.79057654878394,0.395002235610067,0.391725421445542,0.351518148073839,0.5154122672458,0.660753450177509,0.585737902122544,0.594718670645746,0.704441176896845,0.472320649834285,0.50364744614938,0.443727949023885
"Chamaecrista_calycioides",0.516231997769379,0.692093848610459,0.554438360070173,0.628657612260885,0.695950638704608,0.770723055317245,NA,0.3947569992704,0.347496274541361,0.221483831740236,0.308556493090164,0.391926166733217,0.25908513106901,0.507537882610057,0.412113761620222,0.391304378873442,0.413635630087425,0.500546630911428,0.242156167876626,0.499255440095918,0.421278031804302,0.233256041907526,0.187640427696759,0.533655441565438,0.26750362892751,0.603718963373782,0.751838956803949,0.322683587417461,0.598664597952459,0.567173493001601,0.289557226494549,0.301128303961322,0.262017023940846,0.441487217710336,0.413458646619663,0.944685393911197,0.559666631778347,0.439928057095893,0.338239198827662,0.351729340090455,0.343331068463025
"Chamaecrista_cardiostegia",0.940031173185589,0.942142376554571,0.962751523587091,0.983983873292977,0.99182336954756,0.864433446531762,0.652632348095335,NA,0.894651231175609,0.636145629276476,0.815590458795088,0.917282734732275,0.59211593687731,0.843148398218335,0.913487941898081,0.913921220974266,0.934454686935443,0.846909835262492,0.481567244752349,0.877161557089799,0.88507347544015,0.656340502965747,0.519367946444149,0.663542320874991,0.723008196485024,0.784197526499905,0.636221804238908,0.792004926018164,0.786180197002444,0.727169513210478,0.756569154601824,0.772975908644273,0.717030134929313,0.862759869225908,0.780720902116043,0.442431186133976,0.825018403257852,0.81566369156897,0.796082594478778,0.823290883444185,0.791677129466763
"Chamaecrista_choriophylla",0.961576573303892,0.902728328975399,0.978571664726349,0.989923255466163,0.983138270827048,0.79640997848538,0.582291501565992,0.989072790429758,NA,0.73371562938832,0.86833914361376,0.860655396150953,0.662515077583572,0.757515224471674,0.823206714153559,0.905134546278452,0.888347584643007,0.829573666240206,0.485730277796396,0.794315987998031,0.860664437850842,0.745046666683995,0.604849580147618,0.571879794773297,0.776756738620708,0.711270049406464,0.568597522409535,0.824345572796247,0.703158500132212,0.642808880048637,0.801257276486283,0.843220029464383,0.769410326297282,0.888175626875297,0.68186901411908,0.390750543064036,0.781270114152762,0.716969212904437,0.810477360316272,0.791882300182628,0.850194775247578
"Chamaecrista_cinerascens",0.943236879544985,0.746105400520364,0.973734539883788,0.955457643633928,0.914642287656495,0.599767078463265,0.428379084834548,0.905077877544186,0.947853941564424,NA,0.776248555846568,0.599923635876333,0.810272197875646,0.539451409535787,0.575271785459509,0.69252093370548,0.66137244345354,0.619266627858066,0.45438082541869,0.56443274884844,0.640439531285436,0.911486618388531,0.792331121348125,0.354095650690854,0.737770703819346,0.514497105164411,0.387864205392548,0.627929495526761,0.485053052519767,0.439095519576328,0.68579277413472,0.825036818488346,0.712672449321984,0.69652853784771,0.420240522902425,0.252271348900847,0.547904756093493,0.465573145721125,0.589289639318588,0.5431884277143,0.813848345150436
