tree,ER, SYM, ARD, ER/ER, SYM/SYM, ARD/ARD, ER/ARD, ER/SYM, ARD/SYM
1,70.15976335,77.3091492,98.4329894,74.85617484,105.0234211,212.0705176,106.5764718,87.7198245,133.3356747
2,72.15565671,77.86308904,97.2250531,76.17308771,104.9247139,213.5916692,110.7150957,83.65291908,135.7615563
3,72.06478311,78.47946752,98.10406547,75.80859576,106.9882987,213.2316014,108.6777771,84.95860151,137.4880466
4,71.41232723,79.0082823,98.79573362,76.33680097,106.8918185,215.7898408,108.0289086,85.03862901,135.6468038
5,71.86631545,78.03467438,97.40086745,76.22430251,105.2643766,212.4015748,106.9159435,84.06786046,134.504127
6,72.16430654,77.92506545,97.41874552,76.08664337,107.6087449,214.4111881,110.5787668,83.95570486,133.2459557
7,74.51790193,79.31444493,97.31285924,76.24745941,104.8185194,214.4530065,106.7243877,84.15231192,136.3089835
8,75.55859025,80.14842424,100.0216982,76.99781956,107.1371389,211.8703171,110.28517,85.43343645,139.1562779
9,72.13028885,78.94232425,97.14185002,75.15375721,104.1213773,211.7453242,106.4757719,84.489725,136.4019071
10,70.2298647,77.27201511,95.19221658,74.53914757,104.6718934,210.856302,105.5508232,82.40725152,137.4137384
11,72.93876799,79.68776704,98.84056841,76.10122576,106.1784533,214.2043902,107.3979012,84.42239511,138.3262902
12,70.84086452,79.06974983,95.37938722,73.77637531,102.7438347,210.2318398,106.0439138,82.13557696,131.6568396
13,74.96973546,79.75649081,99.17146834,77.43949904,106.2047713,211.1856155,108.0423457,85.31676734,135.2765023
14,76.22693814,79.72547417,99.04049525,76.96821159,105.4003117,216.2260484,109.3565412,85.49163067,137.6265293
15,69.54188219,75.71697015,96.15391198,74.71893194,104.0323316,210.9490754,105.7243634,82.91154551,133.0490263
16,71.46795321,75.52390647,95.25873591,75.05400443,103.0941553,212.3515047,105.0699486,81.55648229,132.2909319
17,71.17263968,75.92256275,95.66794367,74.90759977,103.7816711,210.5401642,105.7821428,85.76343678,134.2799644
18,73.26364967,78.98587272,98.58576482,76.66449733,105.6536302,212.5888226,108.0197991,85.7013486,136.3080427
19,71.45912576,77.99026475,97.39179313,75.84738921,105.3480708,212.4290249,106.8533324,83.32594333,137.4409892
20,74.7047129,79.45480458,98.97719489,76.49181889,105.8399878,214.1486718,109.5948659,84.42966268,135.0491416
21,69.94101434,77.60246259,96.4477728,74.69815655,103.0714442,213.582187,106.2735344,82.4643296,135.6280527
22,72.80269192,79.38296229,95.95332826,75.66311027,105.9118705,211.3895422,107.0607086,82.81711211,133.8985108
23,72.39289539,77.03086723,97.03795226,75.37023883,103.5726437,210.8800345,107.2972408,82.82080359,131.9049183
24,69.39557556,74.98084181,95.34219494,74.4169626,104.662757,209.0991633,104.9635463,81.74681958,134.2826816
25,71.83592884,76.42525052,112.3691452,74.1043756,103.705242,211.1088875,106.9997317,81.71547983,132.3932966
26,71.62033532,77.35933871,96.95797858,76.04875433,103.9808269,211.7912462,106.7548853,83.92470375,132.7792026
