"Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
55,20,46,123,20,18,8,3,21,25,146,9,17,155,30,93,79,19,98,9,25,16,40,86,32,0,11,82,75,12,28,32,29,8,18,16,39,5,62,15,13
28,19,76,240,95,21,5,48,23,27,2,13,68,97,34,82,38,50,95,146,9,24,73,99,32,125,15,64,86,13,32,30,32,7,8,7,205,30,123,21,0
59,22,91,106,4,16,53,51,29,27,74,5,35,4,18,36,115,417,61,3,30,61,5,23,12,53,132,55,35,163,31,34,25,151,21,9,71,21,27,22,56
49,7,117,41,121,20,0,67,55,26,90,52,134,40,54,31,30,64,44,24,25,69,11,21,39,53,1,28,18,61,54,51,60,16,25,5,110,31,60,5,55
30,36,18,152,20,24,7,55,32,47,53,6,116,19,37,224,2,111,94,44,29,25,89,12,53,168,190,87,3,110,118,42,65,22,15,30,0,1,31,85,0
24,29,61,262,102,26,16,8,47,50,86,31,82,64,17,17,21,149,99,33,46,43,130,27,6,3,10,22,104,8,30,18,29,62,29,11,151,28,49,109,36
103,22,62,319,25,19,12,117,30,73,36,44,177,16,29,21,5,125,32,28,20,37,362,46,54,0,0,22,5,185,28,21,26,138,3,14,10,21,34,33,107
67,13,53,91,84,8,126,28,28,39,61,27,48,19,23,0,44,11,95,55,18,26,84,24,22,3,11,45,0,73,30,40,40,0,26,36,135,17,56,49,60
36,10,11,121,87,16,27,22,2,38,30,10,230,8,52,56,269,238,96,35,21,40,98,67,5,71,111,52,76,11,42,49,29,63,37,155,5,51,48,3,115
32,29,106,38,120,8,5,37,56,28,80,60,95,4,30,16,108,34,30,15,44,28,51,21,49,18,0,23,20,18,23,5,21,9,18,96,71,57,64,75,22
26,24,40,122,22,11,8,25,37,15,51,32,160,88,68,5,22,28,98,12,32,14,108,57,25,130,20,57,4,116,47,31,31,317,20,38,68,30,111,97,5
43,18,41,81,10,6,27,84,31,83,51,4,19,22,21,115,50,17,103,71,33,44,73,51,9,75,18,54,3,11,30,103,30,70,49,221,5,18,31,10,44
3,18,140,53,104,17,25,38,25,21,145,28,45,14,115,147,19,175,91,97,24,54,107,8,31,5,0,49,15,5,26,26,25,83,21,14,22,31,13,2,4
40,16,198,38,99,19,19,62,14,83,94,31,142,36,4,390,32,26,97,66,59,52,38,350,20,3,13,58,20,346,118,69,23,19,31,97,94,20,24,31,32
46,21,5,277,13,23,12,74,28,122,40,49,136,34,59,15,4,194,103,6,17,66,69,31,51,6,81,26,55,65,19,25,27,29,6,2,335,22,7,19,93
4,22,3,119,61,5,71,105,18,103,28,34,134,53,48,78,9,120,94,0,18,17,111,52,38,69,9,25,88,6,23,60,28,38,11,4,0,32,29,20,30
