;WN_DAICc;BM1_DAICc;BMS_DAICc;OU1_DAICc;OUM_DAICc;OUMA_DAICc;OUMV_DAICc;OUMVA_DAICc
model.names;WN;BM1;BMS;OU1;OUM;OUMA;OUMV;OUMVA
fittings;2000;2000;2000;1910;1977;808;1907;311
best;1703;0;0;20;0;0;0;0
tie;277;0;0;269;8;1;1;0
frequency;85.15;0;0;1;0;0;0;0
model.names;WN;BM1;BMS;OU1;OUM;OUMA;OUMV;OUMVA
fittings;2000;2000;2000;1910;1977;808;1907;311
best;1703;0;0;20;0;0;0;0
tie;277;0;0;269;8;1;1;0
frequency;85.15;0;0;1;0;0;0;0
model.names;WN;BM1;BMS;OU1;OUM;OUMA;OUMV;OUMVA
fittings;2000;2000;2000;1910;1977;808;1907;311
best;1703;0;0;20;0;0;0;0
tie;277;0;0;269;8;1;1;0
frequency;85.15;0;0;1;0;0;0;0
model.names;WN;BM1;BMS;OU1;OUM;OUMA;OUMV;OUMVA
fittings;1910;1910;1910;1910;1888;769;1827;299
best;1613;0;0;20;0;0;0;0
tie;277;0;0;269;8;1;1;0
frequency;84.45026178;0;0;1.047120419;0;0;0;0
model.names;WN;BM1;BMS;OU1;OUM;OUMA;OUMV;OUMVA
fittings;1977;1977;1977;1888;1977;798;1884;309
best;1680;0;0;20;0;0;0;0
tie;277;0;0;269;8;1;1;0
frequency;84.97723824;0;0;1.011633789;0;0;0;0
model.names;WN;BM1;BMS;OU1;OUM;OUMA;OUMV;OUMVA
fittings;808;808;808;769;798;808;774;175
best;670;0;0;14;0;0;0;0
tie;124;0;0;121;3;1;0;0
frequency;82.92079208;0;0;1.732673267;0;0;0;0
model.names;WN;BM1;BMS;OU1;OUM;OUMA;OUMV;OUMVA
fittings;1907;1907;1907;1827;1884;774;1907;301
best;1616;0;0;20;0;0;0;0
tie;271;0;0;263;8;1;1;0
frequency;84.74042999;0;0;1.048767698;0;0;0;0
model.names;WN;BM1;BMS;OU1;OUM;OUMA;OUMV;OUMVA
fittings;311;311;311;299;309;175;301;311
best;257;0;0;3;0;0;0;0
tie;51;0;0;49;2;1;0;0
frequency;82.63665595;0;0;0.964630225;0;0;0;0
